"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","C","learning_rate","max_depth","max_iter","min_samples_split","model_type","n_estimators","accuracy","f1_score","precision","recall","roc_auc"
"2026-06-07 10:06:54","13.7s","ea7990b7c63942aabc484bc14924d1ee","xgboost","NOTEBOOK","Untitled18.ipynb","wayna","FINISHED","","0.1","6","","","XGBoost","100","0.967","0.5925925925925926","0.6075949367088608","0.5783132530120482","0.9709196724299388"
"2026-06-07 10:06:41","12.8s","6f08cd37c3b4475fae0a0390c93aeef6","random_forest","NOTEBOOK","Untitled18.ipynb","wayna","FINISHED","","","10","","5","RandomForest","100","0.967","0.5975609756097561","0.6049382716049383","0.5903614457831325","0.9750802898605375"
"2026-06-07 10:05:49","51.6s","3a0e409c6f34438da45b3304b61a7caa","logistic_regression","NOTEBOOK","Untitled18.ipynb","wayna","FINISHED","1.0","","","1000","","LogisticRegression","","0.962","0.2549019607843137","0.6842105263157895","0.1566265060240964","0.9234245275310946"
